,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
5128,625250,130150,625229,130182,22,62521301,4.0,4.3887736010716,4.3887736010716,0.4
5130,625350,130150,625380,130160,22,62531301,4.0,4.3887736010716,4.3887736010716,0.4
5139,625550,257650,625550,257630,22,62552576,4.0,4.451903186074466,4.451903186074466,0.4
5149,626050,126950,626071,126984,22,62601269,8.0,8.76372275051433,8.76372275051433,0.6000000000000001
5152,626050,127250,626050,127250,22,62601272,12.0,13.272871250857218,13.272871250857218,1.0
5162,626250,129850,626266,129820,22,62621298,4.0,4.3887736010716,4.3887736010716,0.4
5170,626450,129850,626461,129805,22,62641298,5.0,5.3887736010716,5.3887736010716,0.4
5177,626750,221750,626740,221740,22,62672217,4.0,4.378833319653241,4.378833319653241,0.2
5187,627150,257450,627140,257430,22,62712574,4.0,4.451903186074466,4.451903186074466,0.4
5200,627750,127850,627764,127874,22,62771278,4.0,4.254574250171443,4.254574250171443,0.2
5210,627950,128650,627980,128680,22,62791286,6.0,6.3887736010716,6.3887736010716,0.4
5212,627950,128950,627960,128999,22,62791289,5.0,5.3887736010716,5.3887736010716,0.4
5215,628150,129550,628101,129516,22,62811295,10.0,10.7775472021432,5.3887736010716,0.8
5220,628250,128750,628243,128766,22,62821287,6.0,6.5831604016074,6.5831604016074,0.6000000000000001
5224,628350,127750,628328,127731,22,62831277,4.0,4.254574250171443,4.254574250171443,0.2
5225,628350,128650,628369,128682,22,62831286,6.0,6.5831604016074,6.5831604016074,0.6000000000000001
5231,628450,256850,628480,256800,22,62842568,4.0,4.527118423293889,4.527118423293889,0.4
5244,629550,114150,629519,114181,22,62951141,5.0,5.578206078576724,5.578206078576724,0.4
5252,629650,115350,629600,115300,22,62961153,4.0,4.258668317266528,4.258668317266528,0.2
5255,629750,125250,629711,125273,22,62971252,4.0,4.509148500342887,4.509148500342887,0.4
5257,629750,128850,629763,128830,22,62971288,4.0,4.3887736010716,4.3887736010716,0.4
5260,629750,129050,629708,129013,22,62971290,4.0,4.3887736010716,4.3887736010716,0.4
5263,629850,118250,629801,118267,22,62981182,4.0,4.517336634533056,4.517336634533056,0.4
5266,629950,118250,629930,118282,22,62991182,4.0,4.517336634533056,4.517336634533056,0.4
5275,630350,128550,630353,128560,22,63031285,6.0,6.509148500342887,6.509148500342887,0.4
5279,630450,129050,630454,129093,22,63041290,6.0,6.5831604016074,6.5831604016074,0.6000000000000001
5291,630650,268850,630646,268840,22,63062688,5.0,5.643672254392734,5.643672254392734,0.4
5300,630850,128950,630876,128965,22,63081289,7.0,7.5831604016074,3.7915802008037,0.6000000000000001
5304,630850,196850,630860,196823,22,63081968,4.0,4.659054962435746,4.659054962435746,0.4
5308,630950,128750,630971,128723,22,63091287,8.0,8.7775472021432,8.7775472021432,0.8
5319,631250,129050,631246,129084,22,63121290,8.0,8.7775472021432,8.7775472021432,0.8
5344,631650,228750,631600,228700,22,63162287,5.0,5.619915345351181,5.619915345351181,0.4
5346,631750,129350,631740,129331,22,63171293,12.0,12.971934002679,6.4859670013395,1.0
5360,632450,127950,632437,127976,22,63241279,5.0,5.509148500342887,5.509148500342887,0.4
5362,632550,119950,632501,119983,22,63251199,4.0,4.517336634533056,4.517336634533056,0.4
5365,632650,125450,632600,125400,22,63261254,6.0,6.452737749814548,6.452737749814548,0.4
5370,632750,127950,632739,127951,22,63271279,5.0,5.3887736010716,5.3887736010716,0.4
5390,633150,129050,633130,129002,22,63311290,4.0,4.5726269955783465,4.5726269955783465,0.4
